id,quality
1,6
2,5
3,5
4,6
5,5
6,6
7,6
8,6
9,6
10,5
11,6
12,6
13,6
14,6
15,5
16,6
17,6
18,6
19,5
20,6
21,5
22,6
23,6
24,5
25,6
26,5
27,6
28,6
29,6
30,5
31,5
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,5
41,5
42,6
43,6
44,6
45,6
46,6
47,6
48,5
49,5
50,5
51,6
52,5
53,5
54,6
55,5
56,6
57,6
58,6
59,5
60,5
61,6
62,5
63,6
64,6
65,6
66,5
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,5
78,6
79,5
80,6
81,6
82,5
83,6
84,6
85,6
86,6
87,5
88,5
89,6
90,5
91,6
92,6
93,5
94,5
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,5
104,6
105,6
106,5
107,6
108,5
109,5
110,6
111,6
112,6
113,5
114,6
115,5
116,6
117,6
118,5
119,6
120,5
121,6
122,6
123,5
124,6
125,5
126,6
127,6
128,5
129,5
130,6
131,6
132,6
133,5
134,6
135,5
136,6
137,6
138,5
139,5
140,6
141,5
142,5
143,6
144,6
145,6
146,5
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,5
156,6
157,6
158,6
159,6
160,6
161,6
162,5
163,6
164,6
165,6
166,6
167,6
168,5
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,5
178,6
179,5
180,6
181,6
182,6
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,5
201,6
202,6
203,5
204,6
205,5
206,5
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,5
215,6
216,6
217,5
218,6
219,6
220,6
221,6
222,5
223,6
224,6
225,6
226,6
227,5
228,5
229,6
230,5
231,6
232,5
233,5
234,6
235,6
236,6
237,5
238,5
239,5
240,6
241,6
242,5
243,6
244,6
245,6
246,6
247,5
248,6
249,6
250,5
251,6
252,5
253,5
254,6
255,6
256,5
257,6
258,6
259,5
260,6
261,6
262,5
263,6
264,6
265,6
266,6
267,5
268,6
269,5
270,6
271,5
272,5
273,6
274,5
275,6
276,6
277,6
278,6
279,6
280,6
281,5
282,5
283,5
284,6
285,5
286,5
287,6
288,6
289,5
290,5
291,5
292,6
293,6
294,5
295,6
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,5
310,5
311,6
312,6
313,6
314,6
315,6
316,5
317,5
318,5
319,6
320,6
321,6
322,6
323,6
324,6
325,5
326,6
327,6
328,5
329,6
330,5
331,6
332,6
333,5
334,6
335,5
336,5
337,5
338,5
339,6
340,5
341,6
342,6
343,6
344,6
345,5
346,6
347,6
348,6
349,5
350,6
351,5
352,5
353,6
354,5
355,6
356,6
357,5
358,6
359,6
360,6
361,5
362,6
363,5
364,5
365,6
366,5
367,5
368,6
369,5
370,6
371,6
372,6
373,6
374,5
375,5
376,6
377,5
378,5
379,5
380,6
381,5
382,6
383,6
384,6
385,5
386,6
387,5
388,5
389,5
390,6
391,6
392,6
393,6
394,6
395,6
396,5
397,6
398,5
399,5
400,6
401,6
402,6
403,6
404,6
405,6
406,5
407,6
408,6
409,6
410,6
411,6
412,5
413,6
414,6
415,5
416,6
417,6
418,6
419,6
420,6
421,5
422,6
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,6
431,6
432,6
433,6
434,5
435,6
436,6
437,6
438,6
439,6
440,6
441,6
442,6
443,6
444,6
445,6
446,5
447,5
448,6
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,6
457,6
458,6
459,6
460,6
461,6
462,6
463,5
464,5
465,5
466,6
467,5
468,6
469,6
470,6
471,6
472,6
473,5
474,6
475,6
476,6
477,5
478,6
479,5
480,6
481,6
482,5
483,6
484,6
485,6
486,6
487,6
488,5
489,6
490,6
491,6
492,6
493,6
494,6
495,5
496,6
497,6
498,6
499,6
500,5
501,5
502,6
503,6
504,6
505,5
506,6
507,6
508,6
509,6
510,6
511,6
512,5
513,6
514,5
515,6
516,6
517,6
518,6
519,6
520,6
521,6
522,6
523,5
524,5
525,5
526,6
527,6
528,6
529,5
530,6
531,6
532,6
533,6
534,5
535,6
536,6
537,6
538,6
539,6
540,6
541,5
542,5
543,6
544,6
545,6
546,6
547,6
548,5
549,6
550,6
551,6
552,6
553,6
554,6
555,5
556,6
557,6
558,5
559,6
560,6
561,6
562,6
563,6
564,5
565,6
566,6
567,6
568,5
569,5
570,6
571,5
572,6
573,5
574,6
575,5
576,5
577,6
578,6
579,6
580,6
581,6
582,6
583,6
584,6
585,5
586,6
587,6
588,6
589,5
590,5
591,6
592,6
593,6
594,5
595,6
596,6
597,6
598,6
599,5
600,6
601,6
602,6
603,6
604,5
