id,quality
1,6
2,5
3,6
4,5
5,5
6,6
7,6
8,6
9,6
10,5
11,6
12,6
13,7
14,7
15,5
16,7
17,6
18,6
19,5
20,6
21,5
22,7
23,5
24,6
25,6
26,5
27,7
28,6
29,6
30,6
31,6
32,6
33,5
34,6
35,7
36,7
37,6
38,7
39,6
40,5
41,5
42,6
43,6
44,6
45,6
46,7
47,6
48,6
49,6
50,5
51,7
52,5
53,5
54,6
55,5
56,6
57,6
58,6
59,5
60,5
61,6
62,5
63,6
64,6
65,6
66,5
67,6
68,5
69,6
70,7
71,6
72,6
73,6
74,7
75,6
76,6
77,5
78,6
79,5
80,6
81,7
82,5
83,6
84,6
85,6
86,6
87,7
88,5
89,6
90,5
91,7
92,6
93,6
94,5
95,5
96,6
97,6
98,7
99,6
100,6
101,7
102,6
103,5
104,6
105,7
106,5
107,6
108,5
109,5
110,6
111,5
112,6
113,6
114,6
115,5
116,7
117,7
118,6
119,5
120,6
121,6
122,6
123,6
124,7
125,5
126,6
127,6
128,6
129,5
130,7
131,6
132,6
133,5
134,5
135,6
136,7
137,6
138,5
139,5
140,6
141,6
142,5
143,5
144,6
145,5
146,5
147,7
148,6
149,7
150,6
151,7
152,6
153,6
154,6
155,5
156,7
157,6
158,6
159,5
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,5
169,6
170,6
171,7
172,6
173,6
174,6
175,5
176,6
177,5
178,7
179,6
180,6
181,6
182,6
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,7
192,6
193,5
194,6
195,6
196,6
197,5
198,7
199,7
200,5
201,5
202,7
203,6
204,5
205,5
206,5
207,6
208,6
209,6
210,6
211,6
212,6
213,7
214,5
215,7
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,7
225,7
226,6
227,5
228,6
229,6
230,5
231,5
232,5
233,5
234,7
235,6
236,6
237,5
238,5
239,5
240,6
241,5
242,5
243,6
244,6
245,6
246,6
247,5
248,7
249,5
250,5
251,7
252,5
253,6
254,6
255,6
256,5
257,6
258,5
259,5
260,6
261,7
262,6
263,6
264,6
265,6
266,7
267,7
268,6
269,5
270,6
271,6
272,5
273,6
274,5
275,7
276,7
277,6
278,6
279,6
280,6
281,5
282,7
283,5
284,6
285,5
286,6
287,6
288,6
289,6
290,6
291,5
292,6
293,6
294,5
295,7
296,6
297,7
298,7
299,6
300,7
301,5
302,6
303,6
304,5
305,6
306,6
307,6
308,6
309,6
310,5
311,6
312,5
313,5
314,6
315,6
316,5
317,5
318,5
319,6
320,6
321,7
322,5
323,7
324,6
325,6
326,6
327,6
328,5
329,6
330,5
331,7
332,5
333,5
334,6
335,5
336,5
337,6
338,6
339,6
340,5
341,7
342,6
343,6
344,6
345,5
346,5
347,6
348,7
349,6
350,6
351,6
352,5
353,7
354,5
355,6
356,6
357,5
358,6
359,7
360,6
361,5
362,7
363,6
364,5
365,5
366,6
367,5
368,6
369,5
370,6
371,6
372,5
373,7
374,5
375,5
376,6
377,5
378,5
379,5
380,7
381,5
382,7
383,6
384,7
385,6
386,5
387,6
388,5
389,5
390,6
391,6
392,7
393,6
394,7
395,6
396,5
397,7
398,5
399,5
400,6
401,5
402,6
403,6
404,7
405,6
406,6
407,6
408,6
409,7
410,6
411,6
412,6
413,6
414,6
415,5
416,6
417,6
418,6
419,7
420,6
421,6
422,6
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,6
431,6
432,6
433,6
434,5
435,6
436,7
437,7
438,6
439,6
440,7
441,6
442,6
443,6
444,6
445,5
446,6
447,6
448,6
449,6
450,6
451,5
452,6
453,6
454,7
455,7
456,6
457,5
458,6
459,6
460,6
461,6
462,6
463,6
464,6
465,5
466,6
467,5
468,5
469,6
470,6
471,5
472,5
473,5
474,6
475,6
476,6
477,5
478,5
479,5
480,6
481,7
482,5
483,6
484,6
485,6
486,6
487,6
488,5
489,7
490,6
491,6
492,7
493,6
494,6
495,5
496,6
497,6
498,5
499,6
500,5
501,6
502,6
503,6
504,6
505,5
506,6
507,6
508,7
509,6
510,6
511,6
512,5
513,7
514,6
515,6
516,7
517,6
518,5
519,5
520,6
521,6
522,6
523,5
524,5
525,6
526,6
527,6
528,6
529,6
530,5
531,5
532,5
533,6
534,5
535,7
536,6
537,5
538,6
539,6
540,6
541,6
542,5
543,6
544,5
545,6
546,6
547,6
548,5
549,6
550,6
551,7
552,6
553,6
554,6
555,5
556,6
557,5
558,6
559,7
560,5
561,5
562,6
563,6
564,6
565,7
566,7
567,7
568,6
569,5
570,5
571,5
572,6
573,6
574,6
575,5
576,5
577,6
578,6
579,6
580,6
581,6
582,6
583,5
584,7
585,5
586,6
587,7
588,6
589,5
590,5
591,6
592,6
593,6
594,5
595,7
596,6
597,6
598,6
599,6
600,6
601,7
602,6
603,6
604,6
