id,quality
1,6
2,5
3,5
4,6
5,5
6,5
7,6
8,7
9,6
10,5
11,5
12,6
13,6
14,6
15,5
16,6
17,6
18,7
19,5
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,7
28,6
29,7
30,5
31,5
32,6
33,7
34,5
35,6
36,6
37,6
38,6
39,7
40,5
41,6
42,6
43,6
44,6
45,6
46,7
47,6
48,7
49,6
50,5
51,7
52,5
53,5
54,5
55,5
56,6
57,5
58,6
59,6
60,6
61,6
62,6
63,5
64,6
65,6
66,6
67,5
68,6
69,5
70,5
71,7
72,7
73,6
74,5
75,6
76,7
77,6
78,7
79,6
80,6
81,6
82,5
83,6
84,6
85,6
86,7
87,5
88,6
89,6
90,5
91,6
92,6
93,6
94,5
95,6
96,7
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,7
105,6
106,6
107,7
108,6
109,5
110,7
111,7
112,6
113,6
114,7
115,6
116,7
117,6
118,6
119,5
120,7
121,6
122,6
123,5
124,6
125,6
126,6
127,5
128,7
129,6
130,6
131,6
132,7
133,6
134,6
135,7
136,6
137,6
138,5
139,5
140,6
141,6
142,5
143,7
144,6
145,6
146,6
147,6
148,5
149,6
150,5
151,6
152,6
153,6
154,5
155,6
156,7
157,6
158,6
159,6
160,7
161,6
162,6
163,6
164,5
165,6
166,7
167,6
168,6
169,6
170,6
171,6
172,6
173,7
174,6
175,5
176,5
177,6
178,6
179,6
180,6
181,6
182,6
183,5
184,5
185,6
186,6
187,5
188,6
189,6
190,6
191,7
192,7
193,5
194,5
195,7
196,7
197,5
198,6
199,6
200,5
201,5
202,5
203,6
204,6
205,6
206,6
207,5
208,6
209,6
210,7
211,7
212,7
213,6
214,6
215,5
216,6
217,7
218,6
219,7
220,5
221,6
222,5
223,6
224,6
225,5
226,6
227,6
228,7
229,7
230,5
231,6
232,6
233,6
234,7
235,5
236,7
237,5
238,6
239,5
240,6
241,6
242,5
243,7
244,6
245,6
246,6
247,5
248,6
249,6
250,6
251,6
252,5
253,7
254,6
255,6
256,6
257,7
258,6
259,5
260,6
261,6
262,5
263,5
264,7
265,7
266,7
267,6
268,7
269,6
270,6
271,5
272,6
273,6
274,6
275,6
276,6
277,6
278,5
279,6
280,6
281,5
282,7
283,6
284,7
285,5
286,6
287,6
288,6
289,6
290,6
291,5
292,6
293,6
294,5
295,6
296,6
297,6
298,6
299,5
300,7
301,6
302,6
303,6
304,7
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,5
317,6
318,5
319,7
320,7
321,7
322,6
323,7
324,7
325,7
326,7
327,7
328,5
329,5
330,6
331,7
332,6
333,5
334,5
335,5
336,5
337,5
338,6
339,7
340,5
341,6
342,7
343,6
344,7
345,5
346,6
347,6
348,7
349,6
350,5
351,7
352,6
353,6
354,5
355,7
356,6
357,6
358,5
359,6
360,6
361,6
362,6
363,7
364,6
365,7
366,7
367,5
368,6
369,5
370,6
371,6
372,5
373,6
374,5
375,5
376,6
377,5
378,5
379,6
380,5
381,5
382,6
383,6
384,6
385,5
386,6
387,6
388,6
389,6
390,6
391,6
392,5
393,7
394,7
395,7
396,6
397,6
398,6
399,6
400,5
401,6
402,7
403,6
404,6
405,5
406,6
407,6
408,6
409,6
410,5
411,7
412,5
413,6
414,6
415,5
416,6
417,6
418,7
419,5
420,6
421,7
422,7
423,6
424,6
425,6
426,6
427,5
428,6
429,7
430,6
431,5
432,6
433,5
434,5
435,7
436,6
437,5
438,5
439,5
440,6
441,5
442,6
443,6
444,6
445,6
446,6
447,7
448,7
449,6
450,6
451,6
452,6
453,6
454,7
455,6
456,5
457,6
458,7
459,6
460,6
461,5
462,5
463,6
464,7
465,5
466,7
467,6
468,6
469,7
470,6
471,6
472,7
473,6
474,6
475,6
476,7
477,6
478,6
479,6
480,5
481,6
482,5
483,6
484,7
485,6
486,6
487,6
488,6
489,6
490,7
491,7
492,6
493,6
494,6
495,6
496,7
497,7
498,6
499,6
500,6
501,7
502,5
503,6
504,6
505,5
506,7
507,7
508,6
509,6
510,6
511,6
512,5
513,6
514,6
515,6
516,6
517,7
518,7
519,6
520,5
521,6
522,6
523,5
524,5
525,6
526,6
527,6
528,7
529,6
530,6
531,6
532,6
533,6
534,5
535,5
536,7
537,6
538,7
539,5
540,7
541,6
542,6
543,6
544,6
545,6
546,6
547,5
548,6
549,6
550,6
551,6
552,6
553,6
554,7
555,5
556,6
557,6
558,6
559,7
560,5
561,6
562,5
563,6
564,6
565,6
566,7
567,6
568,6
569,5
570,6
571,6
572,7
573,7
574,7
575,5
576,5
577,6
578,7
579,7
580,6
581,6
582,7
583,6
584,7
585,5
586,6
587,6
588,6
589,6
590,6
591,6
592,6
593,6
594,6
595,6
596,6
597,6
598,6
599,6
600,6
601,6
602,6
603,6
604,6
